Chamkaur Sahib, 2.82345516848
kalanwali, 2.81006354249
Dhariwal, 2.80710080285
Chhachrauli, 2.75420026882
Moovattupuzha, 2.69300411523
Hassanpur, 2.68950980392
Dudhansadhan, 2.6745807771
Jakhal, 2.65482324745
Santoshgarh, 2.62656521739
Lamlong Bazaar, 2.57599067599
Mukerian, 2.46802878526
Melaghar, 2.46275252525
Hamirpur(Nadaun), 2.45608993157
Narnaund, 2.41456077016
Mandi(Mandi), 2.41388297872
Perumbavoor, 2.39796238245
Quadian, 2.38223508459
Bhawanigarh, 2.31394491525
Bhuna, 2.24526815642
Ladwa, 2.23346879536
Shahzadpur, 2.16916801292
Quilandy, 2.165425
Farukh Nagar, 2.16298932384
Ettumanoor, 2.13071161049
Pala, 2.10462724936
Champaknagar, 2.08432330827
Kangra(Jassour), 2.056748695
Tarori, 2.02339393939
Shimoga, 2
Deori, 1.97038251366
Palampur, 1.95435653003
Kot ise Khan, 1.93774066798
Indri, 1.89645743766
Dharamkot, 1.8873026973
Panisagar, 1.88647845468
Pabiacherra, 1.86396892655
Bilaspur, 1.83739764706
Sasthamkotta, 1.83199513382
Bhuntar, 1.80860542953
Thrippunithura, 1.80817717206
Raman, 1.78409090909
Khanauri, 1.76971532405
Ateli, 1.75690316395
Nihal Singh Wala, 1.75687830688
Borsad, 1.75215189873
Chamba, 1.72935108153
Kollengode, 1.72823300971
Dahod, 1.71853900709
Pattambi, 1.59252747253
Bishenpur, 1.58877887789
Chathanoor, 1.56945121951
Bhagta Bhai Ka, 1.56151750973
Gehri, 1.54590374332
Kangra, 1.54396818182
Burhanpur(F&amp;V), 1.53315827863
Kovvur, 1.52317395727
Dhamnod, 1.46403323263
Kanjirappally, 1.45144032922
Dhuri, 1.44318181818
Banur, 1.44063586265
Rayya, 1.40157480315
Koduvayoor, 1.3717062635
Raipur Rai, 1.37092851879
Anchal, 1.32861271676
Mullana, 1.30624485597
Kalyan, 1.29812206573
Vamanapuram, 1.27403560831
Baghapurana, 1.26439597315
Athirampuzha, 1.25691144708
Harippad, 1.25222972973
Bishalgarh, 1.24863268608
Tapa, 1.20355018587
Siwani, 1.17921568627
Kullu, 1.12142924528
Chelakkara, 1.11302052786
Irinjalakkuda, 1.0598265896
Goraya, 1.05546978162
vadakarapathy, 1.04100609756
Batote, 1.0296763754
Manglaur, 1.00628930818
Parappanangadi, 0.998329519451
Kottakkal, 0.962230046948
Kottarakkara, 0.932271386431
Talwandi Sabo, 0.913774464119
Thirurrangadi, 0.843349673203
Kamthi, 0.790181818182
Moonak, 0.789431939979
Bhucho, 0.780324909747
Perambra, 0.774473684211
Khanina, 0.76564665127
Adoni, 0.760726072607
Mustafabad, 0.755917808219
Vadakkenchery, 0.749876106195
Thamarassery, 0.749845288326
Punalur, 0.74793814433
Mukerian(Talwara), 0.733338735818
Kondotty, 0.714453961456
Behal, 0.702292870906
Rania, 0.661245002856
Kangra(Nagrota Bagwan), 0.619955156951
Wadakkanchery, 0.599121621622
Bhulath, 0.589150141643
Phillaur(Apra Mandi), 0.576174934726
Khamano, 0.567908422838
Katpadi(Uzhavar Santhai), 0.515306122449
Bhogpur, 0.481263616558
Kallachi, 0.478736263736
Ghanaur, 0.470646808511
Tosham, 0.455915492958
Danapur, 0.454882352941
Aroor, 0.422300469484
Dhari, 0.389494163424
Nawan Shahar(MandiRaho), 0.350098280098
Nilokheri, 0.34286637931
Nahan, 0.304011627907
Talwandi Bhai, 0.301617647059
Kalayat, 0.29972972973
Bilga, 0.298672727273
Sanwer, 0.245885714286
Dera Baba Nanak, 0.24145194274
Nawan Shahar(Mandi Aur), 0.124447236181
